app,route,screen_id,entry_point,role,business_purpose,data_source,states_relevant,interactive_regions,capture_required,capture_reason,status
NEW,(boot),app-boot-loading,direct,any,Așteptare sesiune,GET /api/cloud/session,loading,none,no,transient boot,not-applicable
NEW,(boot),app-boot-unavailable,direct,any,Backend indisponibil,GET /api/cloud/session,error,none,yes,error shell,captured
NEW,(cloud gate),cloud-login,direct,cloud-unauthenticated,Autentificare email/parolă,POST /api/cloud/login,empty;org-select;error,form,yes,cloud gate,captured
NEW,(shell overlay),operator-identify-dialog,global header,operator,Identitate PIN terminal,operator-candidates + operator-session,empty-list;populated;pin-error,modal,yes,shop-floor identity,captured
NEW,/,jobs-overview,global menu Lucrări,operator,Coadă lucrări comerciale,GET /api/jobs,loading;error;empty;populated;filter-empty;search-empty,filters;search,yes,primary hub,captured
NEW,/atelier,atelier-inbox,global menu Atelier,operator,Inbox sarcini operator,GET /api/operator-task-inbox,loading;error;no_session;empty;populated,lanes;Pornește,yes,shop floor,captured
NEW,/requests,requests-overview,Comercial subnav,operator,Coadă cereri de ofertă,GET /api/requests,loading;error;empty;populated;filter-empty,filters;search;create-form,yes,commercial intake,captured
NEW,/requests/:requestId,request-detail,internal link,operator,Lucru pe o cerere,GET /api/requests/:id,loading;missing;error;populated;cancelled,edit;files;offers;product-picker,yes,request workspace,captured
NEW,/quotes,quotes-overview,Comercial subnav,operator,Registru oferte înghețate,GET /api/quotes,loading;error;empty;populated,filters;search,yes,offer registry,captured
NEW,/clients,clients-overview,Comercial subnav,operator,Registru clienți,GET /api/customers,loading;error;empty;populated,filters;search;create,yes,client registry,captured
NEW,/clients/:customerId,client-workspace,registry link,operator,Hub client,GET /api/customers/:id/workspace,loading;missing;error;populated;retired,section tabs;edit,yes,client hub,captured
NEW,/clients/:customerId?section=prezentare,client-workspace-overview,section tab,operator,Profil și activitate,workspace API,view;edit,profile;cards,yes,default tab,captured
NEW,/clients/:customerId?section=cereri,client-workspace-cereri,section tab,operator,Cereri ale clientului,workspace API,empty;populated,list,yes,tab variant,captured
NEW,/clients/:customerId?section=oferte,client-workspace-oferte,section tab,operator,Oferte ale clientului,workspace API,empty;populated,list;pdf,yes,tab variant,captured
NEW,/clients/:customerId?section=lucrari,client-workspace-lucrari,section tab,operator,Lucrări ale clientului,workspace API,empty;populated,list,yes,tab variant,captured
NEW,/products,product-catalog,global menu Produse,operator,Alegere produs din ierarhie,GET /api/product-catalog,loading;error;populated,family-category-product tree,yes,catalog entry,captured
NEW,/products/PRD-LETTERS-FRONTLIT-PLEXI-AL06,product-config-letters-edit,catalog link,operator,Configurare litere luminoase,GET /api/products/:code,loading;editing;blocked;reviewing;confirmed,form sections,yes,distinct LETTERS form,captured
NEW,/products/PRD-ACM-CASSETTE-NONE,product-config-acm-edit,catalog link,operator,Configurare panou ACM,GET /api/products/:code,loading;editing;reviewing;confirmed,form sections,yes,distinct ACM form,captured
NEW,/products/:productCode,product-config-confirmed,after Confirmă,operator,Parcurs comercial pe produs,confirm + quote/order APIs,pre-quote;quoted;accepted;ordered;released;plan,commercial actions;details,yes,commercial spine,captured
NEW,/products/:productCode?request=,product-config-with-request,request Configurează,operator,Configurare cu client blocat,product + request APIs,request context + edit,cerere banner,yes,request handoff,captured
NEW,/products/:productCode?quote=,product-config-quote-restore,quotes link,operator,Continuare ofertă înghețată,quote snapshot APIs,loading;populated,quote actions,yes,restore layout,captured
NEW,/products/:productCode?order=,product-config-order-restore,jobs link,operator,Continuare comandă,order/release/plan APIs,loading;populated,order actions,yes,restore layout,captured
NEW,/execution/:planId,execution-workspace,Deschide execuția,operator,Spațiu sarcini lucrare,GET /api/execution-plans/:id,loading;missing;populated,task lanes;start;complete,yes,execution UI,captured
NEW,/admin,admin-home,global menu Administrare,operator,Index domenii admin,static,populated,category cards,yes,admin entry,captured
NEW,/admin/seller,admin-seller,admin Comercial,owner-write/operator-read,Identitate vânzător,GET/PUT /api/seller,loading;unconfigured;configured,form,yes,seller admin,captured
NEW,/admin/customers,admin-customers-lifecycle,admin Comercial,operator,Ciclu viață clienți,GET/POST/PATCH /api/customers,empty;populated,create;rename;retire,yes,lifecycle admin,captured
NEW,/admin/people,admin-people-list,admin Operațiuni,owner-write/operator-read,Registru persoane,GET /api/people,empty;populated,add;row links,yes,people admin,captured
NEW,/admin/people/skills,admin-skills,PeopleAdminNav,owner-write/operator-read,Catalog skill-uri,GET /api/people/skills,empty;populated,add;retire;filter,yes,skills admin,captured
NEW,/admin/people/:personId,admin-person-detail,people list,owner-write/operator-read,"Persoană: PIN, disponibilitate, skill-uri",GET /api/people/:id,loading;active;retired,PIN;availability;skills;retire,yes,person detail,captured
NEW,/admin/resources,admin-resources-catalog,admin Atelier,owner-write/operator-read,Resurse și dovezi cost,GET /api/resources-admin,loading;populated,category-item;cost editor,yes,cost admin,captured
NEW,/admin/stock,admin-stock-overview,admin Atelier,operator,Solduri stoc,GET /api/inventory,loading;populated,material list,yes,stock list,captured
NEW,/admin/stock/:resourceId,admin-stock-item,stock list,owner-write/operator-read,Sold și mișcări material,GET /api/inventory/:id,populated;no-movements,adjust form;movements,yes,stock detail,captured
NEW,/admin/processes,admin-processes-catalog,admin Atelier,operator,Inspecție procese,GET /api/operational-processes,loading;populated,category-process-detail,yes,process map,captured
NEW,/admin/workcenters,admin-workcenters-catalog,admin Atelier,operator,Zone și utilaje,GET /api/workcenters,loading;populated,zone-equipment tree,yes,shop map,captured
NEW,/admin/product-system,admin-product-system,admin Sistem,owner-write/operator-read,Administrare etichete catalog,GET /api/product-system-admin,loading;populated,category-item;label editor,yes,product system admin,captured
NEW,/components,components-inspection,admin Sistem,operator,Inspecție module/componente,GET /api/product-system-admin,loading;populated,OwnerCatalogView,yes,component inspection,captured
NEW,/governance,governance-inspection,admin Sistem,operator,Autoritate și maturitate,GET /api/governance,loading;populated,OwnerCatalogView,yes,governance,captured
NEW,/system,system-status,admin Stare sistem,operator,Sănătate platformă,GET /api/health,loading;connected;unavailable,none,yes,health surface,captured
NEW,*,catch-all-redirect,direct typo,any,Redirect la Lucrări,router,redirect,none,no,immediate redirect,not-applicable
OLD,/,role-home-redirect,root,all,Landing după rol,RBAC,redirect,none,no,redirect only,not-applicable
OLD,(pre-shell),login-gate,unauthenticated,all,Zid OIDC,AuthContext,unauthenticated,login button,yes,auth entry,captured
OLD,(pre-shell),auth-config-missing,auth 503,all,Auth backend lipsă,Auth 503,blocked,none,yes,error honesty,captured
OLD,/shop-floor,atelier-overview,nav Atelier / role home,operator;manager;admin,Situație atelier,shop floor API,live;mock;empty;blocked,workcenter grid,yes,operator home,captured
OLD,/dashboard,control-productie,nav / admin home,admin;manager;sales;viewer,Control producție,dashboard API,db;mock;gaps,KPI;quick actions,yes,admin landing,captured
OLD,/intake,cereri-list,nav Cereri,admin;manager;sales,Coadă cereri,Intake API,pipeline filters;empty;populated,search;status cards;NewIntakeDialog,yes,intake queue,captured
OLD,/intake,cereri-pipeline-filter,status cards,admin;manager;sales,Filtru pipeline cereri,Intake list,each status,pipeline cards,yes,filter states,captured
OLD,/intake,new-intake-dialog,Cerere nouă,admin;manager;sales,Creare cerere,Intake create,3-step dialog,dialog,yes,create flow,captured
OLD,/intake-v6/operator,intake-v6-bootstrap,quick action,admin;manager;sales,Bootstrap workspace V6,Intake V6 API,loading;error,SVG drop,yes,intake boot,captured
OLD,/intake-v6/:workspaceId/operator,intake-v6-workspace,cereri row,admin;manager;sales,Workspace definire produs,Intake V6 API,layers;review;confirm,stepper,yes,core intake form,captured
OLD,/intake-v6/:workspaceId/operator,intake-v6-step-layers,step Straturi,admin;manager;sales,Mapare straturi SVG,analyzer,persisting;blockers,canvas;layers,yes,step 1,captured
OLD,/intake-v6/:workspaceId/operator,intake-v6-step-review,step Configurare,admin;manager;sales,Configurare modulară,form contract,review tabs,review nav,yes,step 2,captured
OLD,/intake-v6/:workspaceId/operator,intake-v6-review-finisaje,review tab,admin;manager;sales,Finisaje,workspace fields,pending;confirmed,artwork cards,yes,review domain,captured
OLD,/intake-v6/:workspaceId/operator,intake-v6-review-iluminare,review tab,admin;manager;sales,Iluminare,workspace fields,illuminated;partial,LED panels,yes,review domain,captured
OLD,/intake-v6/:workspaceId/operator,intake-v6-review-panou-carcasa,review domain,admin;manager;sales,Panou/carcasă,ACM contract,draft,ACM region,yes,review domain,explained
OLD,/intake-v6/:workspaceId/operator,intake-v6-review-montaj-comercial,review domain,admin;manager;sales,Montaj comercial,workspace montaj,template;site,montaj fields,yes,review domain,explained
OLD,/intake-v6/:workspaceId/operator,intake-v6-step-confirm,step Confirmare,admin;manager;sales,Confirmare și predare ofertă,Intake V6 + quotes,ready;blocked,confirm,yes,step 3,captured
OLD,/intake-v6-app/*,intake-v6-standalone,direct,admin;manager;sales,V6 fără shell desktop,same V6,same,same,yes,standalone shell,captured
OLD,/product-system/products,product-system-catalog,nav Produse,admin;manager;sales,Catalog șabloane ofertabile,Product System API,library;search,grid;create;intake link,yes,catalog vs editor,captured
OLD,/product-system/products/:templateCode,product-system-editor,catalog row,admin;manager;sales,Studio șablon,Product System API,editor,tabs,yes,template studio,captured
OLD,/product-system/products/:templateCode,ps-studio-tab-structure,editor tab,admin;manager;sales,Structură/compiler,template draft,structure,tree;compiler,yes,studio tab,captured
OLD,/product-system/products/:templateCode,ps-studio-tab-operational,editor tab,admin;manager;sales,Compoziție operațională,template draft,operational,ops nodes,yes,studio tab,captured
OLD,/product-system/products/:templateCode,ps-studio-tab-form-system,editor tab,admin;manager;sales,Contract formular intake,form contract,form-system,FormSystemAdmin,yes,studio tab,explained
OLD,/product-system/products/:templateCode,ps-studio-tab-general,editor tab,admin;manager;sales,Metadate șablon,template draft,general,metadata,yes,studio tab,explained
OLD,/product-system/products/:templateCode/structure/vizual-fata,ps-structure-face,structure deep link,admin;manager;sales,Structură față,PS structure API,readonly,detail,yes,structure page,captured
OLD,/product-system/products/:templateCode/structure/volum-aluminiu,ps-structure-volume-al,structure deep link,admin;manager;sales,Structură volum aluminiu,PS structure API,readonly,detail,yes,structure page,captured
OLD,/product-system/products/:templateCode/structure/capac-spate,ps-structure-back,structure deep link,admin;manager;sales,Structură spate,PS structure API,readonly,detail,yes,structure page,captured
OLD,/product-system/products/:templateCode/structure/sistem-led,ps-structure-led,structure deep link,admin;manager;sales,Structură LED,PS structure API,readonly,detail,yes,structure page,captured
